gene,eigenvector,betweenness,pagerank,out_degree,in_degree,hub_score,k562_chronos,pan_mean_chronos,selective_score,is_selectively_essential,is_essential
SDHA,1.1267203926235103e-17,9.649216098127319e-05,0.0035972687659875237,8,8,0.17272750720253985,6.756222712847288,6.661492010337035,0.09473070251025284,False,False
HMGCS1,0.017521060036359577,0.0002030353789147759,0.013403732431266264,1,7,0.1705062031005607,7.097821455171133,5.757800139341393,1.3400213158297403,False,False
GUK1,9.244885272808314e-20,6.311620633228673e-05,0.003251796389383915,8,7,0.1689441927614254,7.705079392274048,7.531844892454561,0.17323449981948702,False,False
MRTO4,6.644168060539853e-22,4.398092756551718e-05,0.0031111107182779678,8,6,0.16740352506351647,5.212958362728285,5.321879009044467,-0.10892064631618226,False,False
NOL12,1.0612425575096741e-11,0.0002170645596106233,0.005688928831605631,6,10,0.16230022445255338,3.979110755015786,4.790339316184285,-0.8112285611684995,True,False
PPP1R7,2.1075736428444018e-26,4.399099876486811e-05,0.0026056460771564922,8,4,0.16186811382448185,6.184677020680892,6.30212931079697,-0.11745229011607794,False,False
URM1,2.1075736428444018e-26,2.54801343578563e-05,0.0025920164518570994,8,4,0.1617188539654763,5.672425341971495,5.593322227687829,0.07910311428366601,False,False
METAP2,2.2350834883416496e-17,0.0003555536218852802,0.00539012827780993,6,8,0.1590280194132449,7.058316495590823,6.746713725303922,0.31160277028690064,False,False
RPL35A,5.5421625475107155e-34,1.1420740063956144e-05,0.002230241138013395,8,1,0.1577570038668965,11.524786550851609,10.849665072654915,0.6751214781966937,False,False
CTU2,4.509518693715221e-06,0.00010433762527564871,0.011340988271899093,2,10,0.15753183596781528,4.51853513898218,3.8470083527042642,0.6715267862779162,False,False
CYFIP1,5.5421625475107155e-34,0.0,0.0021737809238779183,8,1,0.15713870047144948,5.012568673503056,5.009808923642135,0.00275974986092109,False,False
MYCBP,1.2217738857869083e-15,3.901582628550803e-05,0.003618880767157038,7,8,0.15629751646617482,5.366322214245816,4.596474830999271,0.7698473832465451,False,False
MRPL9,9.244885272808316e-20,5.865466501982414e-05,0.003498338857521572,7,7,0.1549774458082339,6.161081482277184,6.290915627116791,-0.12983414483960765,False,False
POLR2B,1.1267199850187681e-17,7.084081623445106e-05,0.00349126662338679,7,7,0.15489999682144048,6.43095427138573,5.910094658980731,0.5208596124049985,False,False
WDR18,1.0612425575096736e-11,8.963367422328898e-05,0.004748125327533453,6,10,0.15199735879886522,5.977737849242815,5.065508333895424,0.9122295153473914,False,False
SUPT5H,1.0379737375763556e-11,8.750865116024244e-05,0.004734190059849076,6,10,0.1518447518089178,6.149950301681046,6.33290225663757,-0.18295195495652372,False,False
CIAO1,2.0642431093947956e-11,0.00016369727425003807,0.010654485428179853,2,8,0.15001203564300486,5.773996325111173,5.811394738575923,-0.037398413464750035,False,False
FIP1L1,1.1937618485665452e-13,0.00011278736153108011,0.004510062761817502,6,9,0.14939030363261477,6.056149961108142,5.642617937353868,0.4135320237542741,False,False
CPSF6,1.2878776394730343e-07,0.00022597757103619748,0.008982060211479227,3,11,0.14836380076040154,5.902797157880231,5.714035252902622,0.1887619049776088,False,False
ABT1,1.1937627598077086e-13,0.00010602958676660518,0.004396500734521437,6,9,0.14814667060454084,4.346956889378885,3.8718963089244505,0.47506058045443433,False,False
