gene,k562_chronos,pan_mean_chronos,selective_score
STARD3NL,5.574404309022579,5.244036216034979,0.3303680929876007
CD9,1.2387868595871168,6.491759090571716,-5.2529722309846
HHATL,0.0,0.1012154754132723,-0.1012154754132723
NCAPD2,6.090641751917847,5.979671553779917,0.11097019813793008
IFFO1,0.1505596765753814,2.098708529536039,-1.9481488529606574
GIPR,4.615887073916057,1.4185562339850735,3.1973308399309834
PHF7,4.59215800212536,2.782050946609563,1.8101070555157968
SEMA3G,0.0840642647884745,0.5271159153186912,-0.44305165053021667
NISCH,5.075104722209486,4.590426300801685,0.4846784214078008
STAB1,1.1505596765753812,0.2772632877944863,0.8732963887808949
FUZ,2.7676547982373463,3.34791360756312,-0.5802588093257737
SLC6A13,0.7739963251111731,0.31803821853096187,0.45595810658021124
IDS,4.022367813028454,4.7555951528858795,-0.7332273398574252
PRSS3,1.875780063068488,1.6699673238718737,0.20581273919661425
ZNF200,2.867896463992655,2.9363601551866383,-0.06846369119398332
CD4,0.2986583155645151,0.752691349105274,-0.4540330335407589
LRRC23,3.249445341085839,3.062834655067634,0.18661068601820485
BTK,5.56346323668308,0.8938603660922384,4.6696028705908414
HFE,1.3448284969974411,2.427385568908671,-1.0825570719112299
SCMH1,5.116447935511657,4.173671877136998,0.9427760583746592
FYN,4.071247819461443,4.18608838378671,-0.11484056432526657
HIVEP2,0.4329594072761063,2.49003367570821,-2.0570742684321037
FMO1,0.0,0.06458998736442235,-0.06458998736442235
ELOA,4.597531174224212,4.605220941110736,-0.007689766886524119
LYPLA2,5.691254978650136,5.735085570021246,-0.04383059137111012
CLCN6,4.51096191927738,3.1846387437086476,1.3263231755687328
MRC2,4.500164679492167,3.2205658342394683,1.279598845252699
NME1-NME2,4.138323004056484,5.000297733490322,-0.8619747294338378
SLC6A7,0.0,0.06499043772150834,-0.06499043772150834
TSPAN9,1.2078928516413328,3.129486582920334,-1.9215937312790015
BTBD7,2.3950627995175777,3.367200714555627,-0.9721379150380494
APBA3,4.277240898332067,3.4780794192338043,0.7991614790982631
MKS1,4.744699314207836,3.789862544997552,0.9548367692102846
ABHD5,4.795974694206668,3.600464277513097,1.1955104166935713
ANOS1,0.0,0.9468710095365986,-0.9468710095365986
AKAP8L,6.147713722352154,5.41044686320014,0.7372668591520135
MBTD1,3.742006210866737,3.0751224853690964,0.6668837254976405
UTP18,5.754887502163468,5.54607051433016,0.20881698783330815
RNF216,4.641546029087524,4.1481139623289405,0.49343206675858386
TTC19,5.101818134227409,4.590716623754275,0.511101510473134
PTBP1,8.025305698014549,7.730390001671823,0.2949156963427253
DPF1,1.4382928515791469,1.8551518731179772,-0.41685902153883037
SYT7,0.3895668117627256,1.6189910282924929,-1.2294242165297673
LARS2,4.030336078370959,3.5832106667551913,0.44712541161576747
PIK3C2A,3.541019153133559,3.83150869067309,-0.2904895375395311
PLAUR,4.329841176530628,4.6164936629835065,-0.2866524864528781
ANLN,4.534808661231747,5.6820137511191895,-1.1472050898874429
WIZ,3.700439718141092,3.9210271199821762,-0.22058740184108405
RABGAP1,3.584962500721156,4.250641622396483,-0.6656791216753266
DCN,0.2630344058337938,1.449933640899644,-1.1868992350658503
QPCTL,4.161081482277184,3.3286161329493105,0.8324653493278733
PPP5C,6.229972385112252,5.985908852169606,0.24406353294264616
CEP68,2.967168607532628,2.574196325720283,0.3929722818123449
MAP4K3,3.82781902461732,3.702752866312774,0.12506615830454626
ZBTB32,0.01435529297707,0.4643757195216605,-0.4500204265445905
TYROBP,3.377123749129487,0.3687032599310676,3.008420489198419
TMEM159,4.600507645345786,4.069607643115979,0.5309000022298074
GABRA3,1.6088092426755238,0.8760003690673687,0.7328088736081552
BRCA1,6.085976949073639,4.333658686318418,1.752318262755221
ERCC1,5.838699701774244,5.555343254184762,0.2833564475894823
CD22,2.678071905112638,1.4424197356611173,1.2356521694515206
SEMA3B,2.361768359419153,2.949800624816751,-0.5880322653975978
MBTPS2,3.6392321632492775,3.5578659513543855,0.0813662118948919
PRICKLE3,4.153805336079036,2.891814599943516,1.26199073613552
LTF,0.0565835283663675,0.24523494463073436,-0.18865141626436688
EXTL3,3.576522137920503,3.673054751228384,-0.09653261330788077
NR1H4,0.1890338243900171,0.23737414194687326,-0.048340317556856166
ELOVL5,7.377557603233406,6.122678945843573,1.254878657389833
ALOX5,3.1618876823768938,1.2924864609440183,1.8694012214328755
KDM5D,0.01435529297707,1.1559139516150028,-1.1415586586379327
CALCOCO1,4.778208576398088,4.757320259843462,0.02088831655462542
UBR7,4.92362461136832,4.615034903297743,0.30858970807057684
MAP4K5,4.040015678847879,4.473842443743805,-0.433826764895926
EHD3,0.0976107966264223,1.6562376475836307,-1.5586268509572083
PSMC4,6.7713574089905615,6.784812199494905,-0.013454790504343173
MAN2B2,3.1127001327493624,3.279494430140131,-0.1667942973907688
SLC7A14,0.01435529297707,0.2357638841226132,-0.2214085911455432
CLDN11,0.5753123306874368,1.5869513509446669,-1.01163902025723
SLC25A39,7.0300049445090815,6.9018007379526365,0.12820420655644504
MVP,1.5897634869849773,5.086020899006593,-3.496257412021616
NUB1,6.350850805483376,5.276735671266499,1.0741151342168775
PGM3,6.2024177215751815,4.755871461737328,1.4465462598378531
RWDD2A,2.2839217723076177,1.6715014838287803,0.6124202884788374
CLK1,5.500802053057158,5.678168923377573,-0.17736687032041498
POLR3B,3.33771109212829,2.6864819296972606,0.6512291624310294
ANGEL1,2.9616233282869446,3.275589549376755,-0.3139662210898102
RNF14,6.156841524588401,5.074446920518378,1.0823946040700232
DNASE1L1,4.199279721336625,4.247124696150682,-0.04784497481405747
DDX11,5.535430914871279,5.1931129996909755,0.3423179151803035
HEBP1,3.8982083525087177,4.798262942376516,-0.9000545898677981
GPRC5A,0.2986583155645151,4.019408158750454,-3.720749843185939
MAMLD1,0.0285691521967709,1.4843110207418144,-1.4557418685450436
CD6,0.0840642647884745,0.3319474869848641,-0.24788322219638959
TACC3,6.008092420948722,5.940241696859335,0.06785072408938664
UFL1,4.7755773609306535,3.815779872626017,0.9597974883046367
POLA2,4.921721947009604,4.429746414142639,0.4919755328669648
ZC3H3,3.9411063109464313,3.1549307238040494,0.7861755871423819
